Site,Month,Year,Latitude,Longitude,Habitat,Lagoon,Distance_to_population_center,Island_shore,Herbivore_total,Corallivore_total,Predator_total,Herbivore_richness,Corallivore_richness,Predator_richness
114,May,2021,-17.4954558,-149.9235728,Reef crest,Hauru,5024.24,SW,7.8999999999999995,1.7999999999999998,0.2,2,2,1
115,May,2021,-17.49504173,-149.9197109,Mid lagoon,Hauru,4633.42,SW,0.4,0,0,1,0,0
116,May,2021,-17.49474971,-149.9146039,Fringing reef,Hauru,4146.16,SW,8.88888888888889,0.3333333333333333,0.2222222222222222,2,2,2
118,May,2021,-17.48914783,-149.9067514,Fringing reef,Hauru,3141.51,N,32.400000000000006,0.8,0,3,2,0
119,May,2021,-17.48591677,-149.9077934,Reef crest,Hauru,3301.52,N,4.8,2.3,0,3,3,0
120,May,2021,-17.48790848,-149.9022525,Mid lagoon,Hauru,2684.16,N,4.8,0.7,0.1,2,2,1
121,May,2021,-17.48853084,-149.8968575,Fringing reef,Hauru,2105.03,N,23.7,0.4,0,3,2,0
122,May,2021,-17.48485495,-149.8962351,Reef pass,Hauru,2147.15,N,4.8999999999999995,1.3,0.30000000000000004,3,2,2
123,May,2021,-17.48842556,-149.8921487,Fringing reef,Papetoai,1620.02,N,15.1,0,0,3,0,0
126,May,2021,-17.49179923,-149.8794897,Fringing reef,Papetoai,236.37,N,10.166666666666668,0.5,1.8333333333333335,2,1,2
127,May,2021,-17.4889724,-149.8789846,Fringing reef,Papetoai,344.49,N,5.799999999999999,0,0.1,3,0,1
133,May,2021,-17.49028584,-149.8868992,Fringing reef,Papetoai,1035.51,N,7.500000000000001,0.2,0.1,2,1,1
134,May,2021,-17.48732954,-149.8870074,Fringing reef,Papetoai,1132.5,N,16.4,0.6,0.3,3,2,1
136,May,2021,-17.48690316,-149.8805744,Mid lagoon,Papetoai,633.57,N,11.7,1.1,0.1,2,2,1
139,May,2021,-17.49065096,-149.8681188,Fringing reef,Papetoai,284.82,N,2.1,1.7999999999999998,0.5,2,2,3
145,May,2021,-17.48966591,-149.8494205,Fringing reef,Pihaena,1924.49,N,19.8,0.4,0.30000000000000004,2,1,1
146,May,2021,-17.48545652,-149.8469882,Fringing reef,Pihaena,2344.91,N,14,2,0,2,2,0
147,May,2021,-17.48168911,-149.8498651,Reef crest,Pihaena,2323.79,N,11.999999999999998,5.4,0.4,2,2,3
148,May,2021,-17.48386731,-149.8490207,Mid lagoon,Pihaena,2249.28,N,14.200000000000001,1.0999999999999999,0.1,3,3,1
151,May,2021,-17.47821942,-149.8423604,Reef crest,Pihaena,3188.64,N,7,2.2,0.30000000000000004,3,2,3
152,May,2021,-17.48009529,-149.8422762,Mid lagoon,Pihaena,3078.71,N,8.1,1.4,0.2,3,2,2
153,May,2021,-17.4784169,-149.8339808,Reef crest,Pihaena,3439.4,N,3.9000000000000004,2.6,0.2,2,2,2
161,May,2021,-17.47370895,-149.7768527,Fringing reef,Maharepa,2167.13,N,4.199999999999999,2.7,0.1,4,4,1
162,May,2021,-17.47599625,-149.780356,Fringing reef,Maharepa,1736.89,N,9.299999999999999,0.4,0.1,3,2,1
163,May,2021,-17.47785238,-149.7866539,Fringing reef,Maharepa,1041.41,N,8.299999999999999,1.5,0.1,3,3,1
164,May,2021,-17.47880909,-149.790986,Fringing reef,Maharepa,557.01,N,7.8,0.5,0.1,3,1,1
165,May,2021,-17.4796057,-149.7961288,Fringing reef,Maharepa,78.94,N,12.5,0.125,0.375,3,1,3
166,May,2021,-17.47499012,-149.7867232,Mid lagoon,Maharepa,155.29,N,5.3999999999999995,2,0.1,3,3,1
167,May,2021,-17.47282634,-149.7810294,Reef pass,Maharepa,1802.56,N,5.999999999999999,4.4,0.2,2,2,2
168,May,2021,-17.47187021,-149.786553,Reef crest,Maharepa,1374.55,N,8.200000000000001,5.1,0.1,2,2,1
169,May,2021,-17.47434254,-149.7937432,Reef crest,Maharepa,719.4,N,4.9,3.7,0.30000000000000004,3,3,2
170,May,2021,-17.47682031,-149.7950122,Mid lagoon,Maharepa,404.97,N,4.333333333333333,2.5555555555555554,0.2222222222222222,2,2,2
171,May,2021,-17.47496934,-149.7901163,Mid lagoon,Maharepa,868.66,N,5.333333333333333,3,0.1111111111111111,3,3,1
172,May,2021,-17.4804404,-149.799661,Fringing reef,Maharepa,53.22,N,2.7999999999999994,0.5,0.2,3,2,2
173,May,2021,-17.4760501,-149.7973693,Reef pass,Maharepa,485.08,N,11.2,11,0.2,2,2,1
175,May,2021,-17.48082167,-149.8048369,Fringing reef,Paraoro,46.51,N,13.799999999999999,1.1,0.7999999999999999,3,1,2
176,May,2021,-17.48256359,-149.8138506,Fringing reef,Paraoro,99.79,N,14.2,0.4,0,3,3,0
178,May,2021,-17.48728956,-149.8183929,Fringing reef,Paraoro,414.56,N,11.7,1.8,0,2,2,0
180,May,2021,-17.47707864,-149.8212362,Reef pass,Paraoro,942.75,N,6.300000000000001,4.7,0.3,2,2,1
181,May,2021,-17.47477999,-149.8148865,Reef crest,Paraoro,968.79,N,3,2.8,0,2,2,0
182,May,2021,-17.47831405,-149.8135389,Mid lagoon,Paraoro,540.67,N,1,1,0.2,2,2,1
183,May,2021,-17.48034675,-149.8136512,Mid lagoon,Paraoro,350.94,N,1.8,1.5,0.1,2,2,1
184,May,2021,-17.4749949,-149.806126,Reef crest,Paraoro,609.8,N,4.3999999999999995,3.5999999999999996,0.30000000000000004,2,2,3
185,May,2021,-17.47691201,-149.8066267,Mid lagoon,Paraoro,469.56,N,6.4,1.4000000000000001,0,2,2,0
186,May,2021,-17.47711502,-149.8025034,Reef pass,Paraoro,286.84,N,15.899999999999999,0.2,0.2,2,1,2
187,May,2021,-17.47899399,-149.8063396,Mid lagoon,Paraoro,249.9,N,8.3,1.9,0.1,2,2,1
188,May,2021,-17.47806804,-149.8172428,Mid lagoon,Paraoro,653.2,N,4.111111111111111,4,0.3333333333333333,2,2,2
201,May,2021,NA,NA,NA,NA,NA,NA,3.625,0.75,0.125,2,2,1
204,May,2021,NA,NA,NA,NA,NA,NA,0,0,0.16666666666666666,0,0,1
205,May,2021,NA,NA,NA,NA,NA,NA,1.5,0,0,2,0,0
206,May,2021,NA,NA,NA,NA,NA,NA,1.75,0.625,0,2,2,0
207,May,2021,NA,NA,NA,NA,NA,NA,2.2,0.2,0,3,2,0
34,May,2021,-17.58067293,-149.7936002,Mid lagoon,Maatea,697,SE,2.5,2.1,0.4,2,2,3
35,May,2021,-17.58383224,-149.7985487,Fringing reef,Maatea,157.41,SE,5.2,1.1,0,3,3,0
36,May,2021,-17.57943392,-149.7968348,Fringing reef,Maatea,464.16,SE,0.6000000000000001,0.6000000000000001,0,2,2,0
37,May,2021,-17.57349375,-149.7942877,Fringing reef,Maatea,1146.81,SE,1.6,0.3,0,2,1,0
38,May,2021,-17.56786983,-149.7925031,Fringing reef,Haumi,1531.14,SE,1,0,0.2,2,0,1
39,May,2021,-17.57239278,-149.7883265,Reef pass,Haumi,1634.15,SE,1.6,1.6,0,2,2,0
40,May,2021,-17.57566885,-149.7885266,Reef pass,Maatea,1360.37,SE,4.1,2.4000000000000004,0,4,4,0
41,May,2021,-17.57019438,-149.7873946,Reef crest,Haumi,1577.78,SE,3.4,3.4,0.2,2,2,2
42,May,2021,-17.56927254,-149.7896573,Mid lagoon,Haumi,1508.11,SE,3,1.8,0.1,2,2,1
43,May,2021,-17.56248479,-149.7830339,Reef crest,Haumi,966.93,SE,3.3,3.3,0.2,2,2,2
44,May,2021,-17.56150126,-149.7854925,Mid lagoon,Haumi,725.67,SE,2.7,1.5,0.1,2,2,1
45,May,2021,-17.56024699,-149.7891006,Fringing reef,Haumi,502.16,SE,9.4,3.6,0,2,1,0
68,May,2021,-17.52006574,-149.7738316,Fringing reef,Teavaro,201.15,SE,5.6000000000000005,0.8,0,2,1,0
70,May,2021,-17.51029755,-149.7665881,Fringing reef,Teavaro,1553.77,SE,3.5000000000000004,1,0.2,2,2,2
71,May,2021,-17.51072251,-149.7630267,Reef crest,Teavaro,1739.23,SE,5.1000000000000005,1.8,0.30000000000000004,2,2,2
72,May,2021,-17.52172509,-149.7643641,Reef pass,Teavaro,1245.34,SE,9.1,0.4,0,2,2,0
73,May,2021,-17.51638885,-149.7642064,Reef crest,Teavaro,1304,SE,3.4000000000000004,2.2,0.4,3,3,4
74,May,2021,-17.50532775,-149.7609331,Reef crest,Teavaro,2312.16,SE,5,2.7,0.1,2,2,1
75,May,2021,-17.50326782,-149.7645343,Fringing reef,Teavaro,2316.62,SE,4.8,1.7,0.2,3,3,2
76,May,2021,-17.50094125,-149.7627215,Fringing reef,Teavaro,2626.16,SE,4.833333333333333,1.1666666666666667,0.16666666666666666,1,1,1
77,May,2021,-17.50258469,-149.7597522,Reef crest,Teavaro,2627.04,SE,4.1000000000000005,2.3000000000000003,0.2,3,2,1
78,May,2021,-17.50024941,-149.7576461,Reef crest,Teavaro,3010.98,SE,2.1,1.1,1.1,3,3,1
COOKS,May,2021,NA,NA,NA,NA,NA,NA,8.5,0,0.5,2,0,3
LTER 3 FR,May,2021,NA,NA,NA,NA,NA,NA,7.699999999999999,0.8,0.7,4,2,3
LTER BACK,May,2021,NA,NA,NA,NA,NA,NA,3.3000000000000003,3.1,0.2,2,2,2
